AÑO_MES,Periodo,Nivel,Entidad,Partido,Fecha
2018-10,2015–2019,Capital de Provincia,Soria,PSOE,2018-10-01
2018-11,2015–2019,Capital de Provincia,Ávila,PP,2018-11-01
2018-12,2015–2019,Capital de Provincia,León,PSOE,2018-12-01
2019-01,2015–2019,Capital de Provincia,Lugo,PSOE,2019-01-01
2019-02,2015–2019,Capital de Provincia,Córdoba,PSOE,2019-02-01
2019-03,2015–2019,Capital de Provincia,Córdoba,PSOE,2019-03-01
2019-05,2019–2023,Capital de Provincia,Zaragoza,PSOE / PP,2019-05-01
2019-06,2019–2023,Capital de Provincia,Zamora,IU,2019-06-01
2019-07,2015–2019,Capital de Provincia,Granada,PP / PSOE,2019-07-01
2019-09,2019–2023,Capital de Provincia,Huelva,PSOE,2019-09-01
2019-10,2015–2019,Capital de Provincia,Zamora,IU,2019-10-01
2019-11,2019–2023,Capital de Provincia,Álava,PNV,2019-11-01
2019-12,2019–2023,Capital de Provincia,Salamanca,PP,2019-12-01
2020-01,2019–2023,Capital de Provincia,Madrid,Más Madrid / PP,2020-01-01
2020-02,2019–2023,Capital de Provincia,Álava,PNV,2020-02-01
2020-03,2019–2023,Capital de Provincia,Almería,PP,2020-03-01
2020-05,2019–2023,Capital de Provincia,Cádiz,PSOE,2020-05-01
2020-06,2019–2023,Capital de Provincia,Pontevedra,BNG,2020-06-01
2020-07,2019–2023,Capital de Provincia,Girona,ERC,2020-07-01
2020-08,2019–2023,Capital de Provincia,Cádiz,PSOE,2020-08-01
2020-09,2019–2023,Comunidad Autónoma,Murcia,PP,2020-09-01
2020-10,2019–2023,Capital de Provincia,Valencia,Compromís,2020-10-01
2020-11,2019–2023,Capital de Provincia,Cáceres,PSOE,2020-11-01
2020-12,2019–2023,Capital de Provincia,Jaén,PSOE,2020-12-01
2021-04,2019–2023,Capital de Provincia,Cádiz,PSOE,2021-04-01
2021-06,2019–2023,Capital de Provincia,Zaragoza,PSOE / PP,2021-06-01
2021-07,2019–2023,Capital de Provincia,Cádiz,PSOE,2021-07-01
2021-08,2019–2023,Comunidad Autónoma,Asturias,PSOE,2021-08-01
2021-09,2019–2023,Capital de Provincia,Ourense,DO,2021-09-01
2021-10,2019–2023,Capital de Provincia,León,PSOE,2021-10-01
2021-11,2019–2023,Capital de Provincia,Soria,PSOE,2021-11-01
2022-01,2019–2023,Capital de Provincia,Burgos,PP,2022-01-01
2022-02,2019–2023,Capital de Provincia,Huelva,PSOE,2022-02-01
2022-03,2019–2023,Capital de Provincia,Barcelona,Barcelona en Comú / PSC,2022-03-01
2022-04,2019–2023,Capital de Provincia,Murcia,PP,2022-04-01
2022-07,2019–2023,Capital de Provincia,Huesca,PSOE,2022-07-01
2022-09,2019–2023,Comunidad Autónoma,Murcia,PP,2022-09-01
2022-10,2019–2023,Capital de Provincia,Cáceres,PSOE,2022-10-01
2022-11,2019–2023,Capital de Provincia,Granada,PSOE,2022-11-01
2022-12,2019–2023,Capital de Provincia,Toledo,PSOE,2022-12-01
2023-01,2019–2023,Comunidad Autónoma,Navarra,PSN-PSOE,2023-01-01
2023-02,2019–2023,Capital de Provincia,Huesca,PSOE,2023-02-01
2023-03,2019–2023,Capital de Provincia,Cuenca,PSOE,2023-03-01
2023-04,2019–2023,Capital de Provincia,Cáceres,PSOE,2023-04-01
2023-06,2019–2023,Capital de Provincia,Cáceres,PSOE,2023-06-01
2023-07,2019–2023,Capital de Provincia,Teruel,PP,2023-07-01
2023-08,2019–2023,Capital de Provincia,Zaragoza,PSOE / PP,2023-08-01
2023-10,2019–2023,Capital de Provincia,Palencia,PSOE,2023-10-01
2023-11,2019–2023,Capital de Provincia,Palencia,PSOE,2023-11-01
