fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,tmed,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2014-04-12,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",32,"2,2","7,8",16:50,,,,,,,,,,
2014-04-13,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",33,"1,7","8,6",13:50,,,,,,,,,,
2014-04-14,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",21,"0,3","5,3",12:50,,,,,,,,,,
2014-04-15,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",,"1,1",,,,,,,,,,,,
2014-04-16,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",99,"0,3","6,9",16:30,,,,,,,,,,
2014-04-17,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,,,"1,9",,,,,,,,,,,,
2014-04-26,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"2,5",,"0,8",,,,,,,,,,,,
2014-04-27,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,2",31,"2,5","11,7",11:00,,,,,,,,,,
2014-04-28,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,8",34,"1,1","8,6",13:40,"10,4","7,9",05:00,"13,0",12:00,92,99,Varias,83,13:20
2014-04-29,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"1,2",,"1,7",,,"11,8","7,0",04:50,"16,5",14:00,85,99,Varias,69,12:40
2014-04-30,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,3",32,"1,7","7,5",11:10,"12,4","8,7",21:00,"16,0",16:20,83,99,Varias,67,16:20
2014-05-01,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,9",34,"1,7","8,1",12:40,"11,9","9,0",01:20,"14,8",12:40,86,99,Varias,76,Varias
2014-05-02,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,5",34,"2,5","10,0",13:10,"9,5","7,2",04:40,"11,8",13:40,94,99,Varias,79,13:50
2014-05-03,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",02,"3,1","10,6",14:00,"9,6","5,1",23:00,"14,2",12:10,80,99,Varias,66,15:40
2014-05-04,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",33,"1,7","9,4",10:30,"11,1","3,1",04:50,"19,1",14:50,69,99,Varias,48,14:40
2014-05-05,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",99,"0,3","5,0",Varias,"13,5","3,7",04:50,"23,3",14:20,69,99,Varias,47,Varias
