fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,sol
2021-02-08,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,2","0,2","11,6",23:54,"16,9",14:49,20,"6,7","20,6",04:00,"1011,3",Varias,"1003,9",04,81,100,Varias,64,14:57,"3,4"
2021-02-09,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,5","7,1","11,4",01:41,"15,6",11:46,99,"6,4","16,4",Varias,"1011,2",00,"1006,4",15,97,100,Varias,82,12:01,"0,2"
2021-02-10,5783,SEVILLA AEROPUERTO,SEVILLA,34,"16,2","0,5","13,8",01:47,"18,5",14:17,22,"6,7","14,4",08:11,"1017,3",Varias,"1008,8",04,94,100,Varias,81,14:14,"0,4"
2021-02-11,5783,SEVILLA AEROPUERTO,SEVILLA,34,"16,0","0,2","13,7",07:30,"18,3",15:32,27,"1,9","5,8",19:21,"1018,7",Varias,"1016,6",15,97,100,Varias,88,17:55,"0,6"
2021-02-12,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,0","0,0","9,6",23:50,"20,3",16:13,36,"2,5","8,3",13:44,"1022,6",Varias,"1018,2",04,63,100,Varias,30,18:04,"10,0"
2021-02-13,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,4","0,0","6,9",06:13,"19,9",15:59,06,"1,9","6,1",12:20,"1024,5",Varias,"1021,2",17,76,100,Varias,52,15:41,"9,7"
2021-02-14,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,8","0,0","7,1",06:30,"22,4",14:59,05,"4,2","9,7",09:22,"1024,9",Varias,"1021,9",06,71,100,Varias,36,15:12,"10,4"
2021-02-15,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,6","0,0","8,6",Varias,"22,5",15:36,05,"3,3","8,3",09:05,"1026,3",Varias,"1022,9",17,59,91,00:30,24,13:04,"10,5"
2021-02-16,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,0","0,0","6,7",05:09,"21,3",16:41,05,"1,7","5,8",08:46,"1025,5",Varias,"1021,5",18,68,100,Varias,41,11:51,"10,3"
2021-02-17,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,7","0,0","7,3",06:59,"24,1",17:21,05,"1,4","6,7",10:10,"1021,9",00,"1015,3",18,65,100,Varias,36,17:48,"10,2"
2021-02-18,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,6","0,2","6,9",04:52,"18,3",15:53,23,"1,9","5,0",13:20,"1018,1",Varias,"1015,2",03,93,100,Varias,68,16:46,"4,0"
2021-02-19,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,8",Ip,"8,2",00:20,"17,4",15:22,24,"1,7","6,7",13:39,"1017,6",Varias,"1013,3",24,90,100,Varias,70,15:14,"4,0"
2021-02-20,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,0","0,0","7,6",05:39,"22,3",14:25,17,"2,2","10,8",14:30,"1013,4",00,"1003,5",24,72,100,Varias,26,14:12,"7,5"
2021-02-21,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,2","8,7","9,3",23:41,"15,2",01:34,22,"3,6","11,7",08:07,"1013,3",Varias,"1000,8",07,83,100,Varias,63,01:33,"0,2"
2021-02-22,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,7","0,0","4,5",06:30,"16,9",15:05,22,"2,8","7,8",Varias,"1024,0",Varias,"1013,3",00,76,100,Varias,55,15:17,"9,8"
2021-02-23,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,6","0,0","6,1",06:35,"19,1",15:30,12,"4,2","8,9",15:03,"1028,2",Varias,"1023,9",00,69,100,Varias,39,16:37,"10,7"
2021-02-24,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,4","0,0","8,4",01:17,"20,5",13:17,08,"5,8","13,9",09:35,"1028,1",00,"1021,7",17,65,100,01:24,50,13:30,"10,0"
2021-02-25,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,0","0,3","8,7",Varias,"19,4",16:08,99,"2,5","6,1",Varias,"1023,0",Varias,"1020,0",17,81,100,Varias,57,15:33,"2,0"
2021-02-26,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,7","0,0","10,1",23:50,"19,3",13:43,99,"1,4","6,7",Varias,"1022,6",Varias,"1020,0",04,77,100,Varias,35,11:30,"1,1"
2021-02-27,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,4","0,0","7,6",06:46,"17,1",12:34,99,"2,2","7,2",14:28,"1021,3",00,"1016,1",19,81,100,Varias,53,17:23,"1,4"
2021-02-28,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,0","0,0","8,0",06:00,"19,9",14:59,99,"3,3","8,9",Varias,"1016,5",00,"1012,0",17,73,100,Varias,49,16:03,"7,8"
2021-03-01,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,6","0,0","10,9",01:36,"20,3",15:25,07,"2,8","9,2",Varias,"1017,1",Varias,"1013,0",14,73,100,Varias,49,13:08,"5,4"
2021-03-02,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,5","0,0","9,9",07:18,"21,1",15:53,17,"1,4","5,8",00:46,"1022,1",Varias,"1017,1",00,75,100,Varias,52,14:37,"8,7"
2021-03-03,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,2","0,0","9,1",05:39,"21,3",13:23,99,"0,8","6,1",19:24,"1023,6",Varias,"1019,6",17,72,100,Varias,48,12:07,"8,6"
2021-03-04,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,4","0,0","9,9",06:49,"21,0",15:11,99,"1,1","6,7",Varias,"1020,0",00,"1011,7",24,64,100,Varias,32,14:38,"5,2"
2021-03-05,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,1","14,2","10,9",22:06,"15,3",16:07,99,"3,9","8,9",Varias,"1012,7",Varias,"1009,3",05,90,100,Varias,77,00:08,"0,5"
2021-03-06,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,8","1,1","9,9",01:02,"17,7",12:51,05,"2,2","8,3",10:27,"1015,1",Varias,"1012,0",03,82,100,Varias,44,11:15,"0,2"
2021-03-07,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,6","0,3","11,3",22:23,"19,8",15:04,30,"1,7","8,9",16:29,"1015,2",Varias,"1011,2",16,82,100,Varias,59,14:08,"3,7"
2021-03-08,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,6","0,0","10,5",23:56,"16,8",14:48,22,"2,8","7,8",15:21,"1013,0",Varias,"1009,7",16,82,100,Varias,58,16:06,"4,9"
2021-03-09,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,9","0,0","7,1",05:02,"18,7",14:42,02,"1,7","6,1",16:09,"1017,6",Varias,"1012,1",05,71,100,Varias,32,19:25,"10,4"
