fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2020-03-17,3195,"MADRID, RETIRO",MADRID,667,"10,5","0,2","5,0",01:00,"16,0",Varias,12,"2,5","10,8",14:30,"948,2",21,"940,5",01,76,96,07:00,61,16:00
2020-03-18,3195,"MADRID, RETIRO",MADRID,667,"13,3","0,0","10,3",Varias,"16,3",15:40,04,"1,1","7,8",00:20,"948,5",09,"945,2",18,55,70,Varias,44,13:40
2020-03-19,3195,"MADRID, RETIRO",MADRID,667,"13,5","0,0","10,2",07:00,"16,8",13:30,17,"1,7","8,3",19:20,"945,7",00,"939,9",17,47,68,03:10,40,15:30
2020-03-20,3195,"MADRID, RETIRO",MADRID,667,"10,8","0,0","9,2",23:30,"12,5",14:00,12,"2,8","7,8",23:30,"940,2",Varias,"937,6",23,58,66,Varias,55,Varias
2020-03-21,3195,"MADRID, RETIRO",MADRID,667,"8,2","2,2","7,2",23:20,"9,3",00:00,12,"1,4","7,2",01:20,"937,7",00,"933,7",16,75,86,11:50,64,Varias
2020-03-22,3195,"MADRID, RETIRO",MADRID,667,"9,8","9,5","6,7",06:40,"13,0",14:50,05,"1,9","7,2",11:50,"937,0",23,"932,8",15,81,90,Varias,64,16:00
2020-03-23,3195,"MADRID, RETIRO",MADRID,667,"10,8","4,0","7,2",06:00,"14,4",14:30,05,"1,9","11,1",09:40,"938,6",23,"936,0",Varias,67,88,Varias,45,15:00
2020-03-24,3195,"MADRID, RETIRO",MADRID,667,"12,0","0,0","8,5",06:20,"15,6",12:20,04,"2,2","8,9",07:40,"939,5",Varias,"936,7",16,57,76,Varias,40,12:20
2020-03-25,3195,"MADRID, RETIRO",MADRID,667,"11,7","0,0","6,4",06:20,"17,0",15:20,99,"2,2","7,5",Varias,"939,7",01,"934,3",24,52,75,06:10,34,19:20
2020-03-26,3195,"MADRID, RETIRO",MADRID,667,"10,0","0,0","4,0",06:20,"15,9",14:10,04,"2,8","9,7",16:30,"934,2",00,"931,0",16,26,70,00:50,19,13:00
2020-03-27,3195,"MADRID, RETIRO",MADRID,667,"6,2","0,0","2,0",08:40,"10,3",16:10,04,"2,8","9,7",06:10,"937,2",24,"931,5",02,59,83,08:30,39,00:00
2020-03-28,3195,"MADRID, RETIRO",MADRID,667,"9,2","0,0","2,6",05:00,"15,7",14:50,03,"1,9","7,2",08:20,"940,5",22,"937,0",00,43,81,Varias,25,11:50
2020-03-29,3195,"MADRID, RETIRO",MADRID,667,"12,2","0,0","5,0",05:15,"19,3",13:45,04,"1,4","9,2",23:59,"941,5",09,"936,9",24,38,72,05:00,27,Varias
2020-03-30,3195,"MADRID, RETIRO",MADRID,667,"5,6","9,8","0,5",23:50,"10,8",00:00,05,"4,2","11,9",20:00,"937,0",00,"932,4",24,65,89,23:30,43,00:00
2020-03-31,3195,"MADRID, RETIRO",MADRID,667,"4,8","18,2","0,1",03:40,"9,6",16:20,05,"2,8","11,1",01:00,"932,7",23,"928,9",15,88,89,Varias,87,Varias
2020-04-01,3195,"MADRID, RETIRO",MADRID,667,"9,6","0,9","5,7",23:40,"13,5",15:10,25,"1,7","7,5",16:00,"933,8",10,"931,4",04,59,88,Varias,40,16:40
2020-04-02,3195,"MADRID, RETIRO",MADRID,667,"9,3","0,0","3,4",05:00,"15,2",13:10,04,"2,8","9,7",14:30,"937,2",23,"932,2",03,52,81,05:00,37,15:20
