fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,presMax,horaPresMax,presMin,horaPresMin
2022-01-24,3260B,TOLEDO,TOLEDO,513,"7,0","0,0","2,4",08:00,"11,5",12:30,09,"4,2","9,2",10:50,"4,8",70,90,07:30,51,15:00,"967,9",24,"964,3",Varias
2022-01-25,3260B,TOLEDO,TOLEDO,513,"7,6","0,0","3,6",08:00,"11,7",15:00,12,"3,6","10,3",15:40,"1,7",67,90,08:00,49,15:50,"969,8",10,"967,4",Varias
2022-01-26,3260B,TOLEDO,TOLEDO,513,"7,6","0,0","2,8",08:00,"12,5",16:00,12,"3,6","9,2",16:40,"3,9",69,84,04:40,56,15:50,"968,9",11,"965,7",16
2022-01-27,3260B,TOLEDO,TOLEDO,513,"7,6","0,0","0,2",07:50,"15,0",15:00,10,"3,1","6,9",00:10,"9,1",55,91,06:10,31,16:10,"968,6",10,"965,7",Varias
2022-01-28,3260B,TOLEDO,TOLEDO,513,"7,1","0,0","-1,1",08:00,"15,3",15:40,12,"2,8","7,2",14:20,"9,6",42,69,07:20,20,16:40,"971,1",11,"968,1",00
2022-01-29,3260B,TOLEDO,TOLEDO,513,"7,2","0,0","-3,1",07:40,"17,4",15:00,06,"2,2","8,3",15:20,"9,6",39,70,07:20,17,14:30,"973,1",Varias,"969,5",Varias
2022-01-30,3260B,TOLEDO,TOLEDO,513,"7,6","0,0","-1,3",08:20,"16,6",15:40,08,"2,2","5,6",03:50,"9,0",39,65,08:20,22,14:50,"970,4",00,"965,3",17
2022-01-31,3260B,TOLEDO,TOLEDO,513,"8,2","0,0","-1,9",07:30,"18,4",15:20,33,"1,7","10,6",15:50,"9,4",46,79,07:00,17,15:50,"968,5",24,"964,6",16
2022-02-01,3260B,TOLEDO,TOLEDO,513,"9,6","0,0","1,4",04:00,"17,9",15:30,08,"1,9","10,0",15:40,"9,6",52,74,04:00,36,15:20,"969,3",24,"965,2",15
2022-02-02,3260B,TOLEDO,TOLEDO,513,"11,4","0,0","2,0",07:50,"20,7",16:30,08,"0,8","4,7",00:10,"9,6",61,92,Varias,36,16:40,"969,1",00,"963,7",19
2022-02-03,3260B,TOLEDO,TOLEDO,513,"9,4","0,0","0,5",07:00,"18,4",14:00,29,"1,9","5,6",14:40,"8,1",65,93,07:10,42,14:20,"963,9",00,"960,8",16
2022-02-04,3260B,TOLEDO,TOLEDO,513,"11,6","0,0","6,9",08:00,"16,3",14:50,33,"2,5","6,1",15:00,"4,7",60,82,07:30,33,14:50,"962,5",11,"960,0",15
2022-02-05,3260B,TOLEDO,TOLEDO,513,"9,6","0,0","3,7",08:30,"15,4",15:00,08,"1,4","7,2",13:00,"7,2",66,92,Varias,45,14:40,"965,5",23,"962,0",03
2022-02-06,3260B,TOLEDO,TOLEDO,513,"9,2","0,0","2,0",05:40,"16,4",15:50,10,"1,7","5,0",10:40,"8,8",59,82,00:00,44,Varias,"968,9",23,"965,4",Varias
2022-02-07,3260B,TOLEDO,TOLEDO,513,"9,4","0,0","-0,7",07:40,"19,5",16:10,04,"1,1","4,4",16:50,"9,9",49,90,04:00,22,Varias,"969,8",10,"965,1",Varias
2022-02-08,3260B,TOLEDO,TOLEDO,513,"10,6","0,0","1,7",07:50,"19,5",16:00,10,"3,6","8,9",12:50,"10,0",52,80,07:40,29,15:30,"969,6",10,"966,3",17
2022-02-09,3260B,TOLEDO,TOLEDO,513,"9,8","0,0","2,7",09:00,"17,0",16:40,10,"2,5","7,2",00:20,"7,2",63,95,09:10,42,16:50,"970,4",11,"966,7",Varias
2022-02-10,3260B,TOLEDO,TOLEDO,513,"9,4","0,0","0,5",07:00,"18,2",15:30,10,"1,4","4,4",02:10,"8,8",62,93,07:10,34,14:50,"968,6",10,"964,7",17
2022-02-11,3260B,TOLEDO,TOLEDO,513,"10,0","0,0","2,0",08:00,"18,1",Varias,12,"1,1","4,2",15:20,"8,5",61,90,07:50,37,15:40,"966,2",10,"962,8",16
2022-02-12,3260B,TOLEDO,TOLEDO,513,"11,0","0,4","3,9",06:30,"18,1",15:50,09,"1,4","5,3",10:30,"8,7",55,79,08:10,37,15:30,"964,0",09,"960,7",Varias
2022-02-13,3260B,TOLEDO,TOLEDO,513,"11,6","0,6","7,2",08:00,"15,9",14:10,27,"3,6","12,8",14:50,"3,4",68,94,08:30,48,14:10,"962,3",00,"956,3",18
2022-02-14,3260B,TOLEDO,TOLEDO,513,"9,2","0,0","4,2",23:59,"14,1",15:20,30,"4,7","14,2",17:20,"9,7",59,97,02:50,35,17:00,"964,4",24,"956,1",Varias
2022-02-15,3260B,TOLEDO,TOLEDO,513,"8,1","0,0","1,4",06:50,"14,8",15:00,27,"1,9","7,5",15:10,"9,0",57,85,07:50,33,13:30,"968,1",10,"964,3",00
2022-02-16,3260B,TOLEDO,TOLEDO,513,"10,0","0,0","4,1",07:30,"16,0",14:40,26,"2,5","8,6",16:30,"8,9",60,81,22:40,36,15:50,"969,0",10,"966,2",15
2022-02-17,3260B,TOLEDO,TOLEDO,513,"11,6","0,0","2,8",06:50,"20,3",16:10,09,"2,2","5,0",12:30,"10,3",66,95,07:10,39,17:00,"968,1",09,"961,7",24
2022-02-18,3260B,TOLEDO,TOLEDO,513,"11,4","0,0","2,6",07:30,"20,1",14:00,27,"1,7","8,9",16:50,"9,8",66,93,06:40,45,13:40,"961,7",00,"955,4",16
2022-02-19,3260B,TOLEDO,TOLEDO,513,"9,0","0,0","4,5",23:59,"13,4",14:10,04,"3,9","9,7",12:10,"1,4",55,81,Varias,46,Varias,"966,5",24,"956,3",02
2022-02-20,3260B,TOLEDO,TOLEDO,513,"8,0","0,0","-0,6",07:30,"16,7",17:00,13,"1,4","5,3",10:40,"10,5",54,96,07:50,30,Varias,"970,0",10,"966,5",00
2022-02-21,3260B,TOLEDO,TOLEDO,513,"10,6","0,0","1,7",07:20,"19,4",17:00,14,"1,7","5,0",11:30,"10,6",48,78,Varias,30,14:30,"969,0",24,"965,7",17
2022-02-22,3260B,TOLEDO,TOLEDO,513,"11,6","0,0","1,9",07:20,"21,4",16:00,04,"1,9","6,1",14:20,"10,7",36,67,07:20,15,15:20,"969,7",08,"964,9",17
2022-02-23,3260B,TOLEDO,TOLEDO,513,"11,4","0,0","1,9",06:50,"21,0",16:00,99,"2,5","7,5",Varias,"9,9",38,62,06:30,22,Varias,"965,9",00,"959,2",20
2022-02-24,3260B,TOLEDO,TOLEDO,513,"11,2","1,4","3,4",06:00,"19,0",15:40,99,"1,7","4,7",08:50,"5,3",49,70,08:00,28,Varias,"961,4",10,"958,0",16
2022-02-25,3260B,TOLEDO,TOLEDO,513,"10,0","2,4","8,0",Varias,"12,1",00:30,08,"3,6","9,4",12:20,"0,0",82,94,07:20,50,00:20,"963,2",10,"959,9",02
2022-02-26,3260B,TOLEDO,TOLEDO,513,"10,4","0,8","7,7",06:00,"13,0",13:50,14,"4,7","9,4",12:10,"0,5",80,93,Varias,70,13:50,,,,
2022-02-27,3260B,TOLEDO,TOLEDO,513,"10,4","0,0","6,0",23:59,"14,8",15:20,09,"1,9","8,3",02:40,"4,8",72,93,01:50,56,15:00,,,,
2022-02-28,3260B,TOLEDO,TOLEDO,513,"10,4","0,0","2,3",07:20,"18,6",16:00,24,"1,7","6,4",15:00,,,,,,,,,,
2022-03-01,3260B,TOLEDO,TOLEDO,513,"11,5","0,0","3,1",07:00,"19,9",15:20,26,"1,9","8,6",13:40,,,,,,,"966,0",Varias,"962,2",17
2022-03-02,3260B,TOLEDO,TOLEDO,513,"13,3","0,0","8,8",07:00,"17,8",14:30,28,"3,9","10,8",13:10,"8,5",58,83,07:00,38,Varias,"963,0",Varias,"960,0",17
2022-03-03,3260B,TOLEDO,TOLEDO,513,"8,4","21,8","6,3",23:00,"10,6",01:00,34,"1,1","11,1",22:40,"0,5",84,97,Varias,61,00:50,"961,0",00,"951,7",18
2022-03-04,3260B,TOLEDO,TOLEDO,513,"10,0","0,0","5,9",Varias,"14,0",14:40,32,"2,8","11,1",16:30,"6,3",66,93,07:10,47,16:30,"959,2",Varias,"953,4",00
2022-03-05,3260B,TOLEDO,TOLEDO,513,"8,9","0,0","3,3",Varias,"14,5",15:00,12,"1,7","5,3",10:20,"7,5",61,89,05:40,35,14:50,"958,7",00,"953,1",17
2022-03-06,3260B,TOLEDO,TOLEDO,513,"7,0","1,6","0,9",07:00,"13,1",16:20,10,"1,7","6,9",20:30,"8,6",67,92,07:30,51,16:20,"954,4",11,"951,6",Varias
2022-03-07,3260B,TOLEDO,TOLEDO,513,"9,3","4,2","6,2",06:00,"12,4",15:00,19,"3,6","10,8",13:00,"2,4",77,91,06:10,60,14:30,"953,9",Varias,"951,0",16
2022-03-08,3260B,TOLEDO,TOLEDO,513,"10,6","0,0","6,8",23:59,"14,3",15:30,26,"4,2","9,7",11:20,"8,2",59,80,08:30,45,17:00,"960,2",24,"953,3",01
2022-03-09,3260B,TOLEDO,TOLEDO,513,"10,0","0,0","3,0",06:50,"16,9",14:10,34,"1,7","4,7",14:10,"5,4",65,92,06:30,44,14:10,"961,2",09,"958,0",17
2022-03-10,3260B,TOLEDO,TOLEDO,513,"11,0","1,6","5,6",07:10,"16,3",16:40,19,"1,4","8,1",23:40,"5,9",67,90,Varias,51,16:40,"960,6",09,"955,3",24
2022-03-11,3260B,TOLEDO,TOLEDO,513,"11,0","4,4","8,3",23:59,"13,6",15:00,28,"3,3","10,0",13:10,"0,7",76,95,Varias,61,16:50,"955,7",23,"952,3",16
2022-03-12,3260B,TOLEDO,TOLEDO,513,"10,0","4,2","5,8",07:40,"14,2",13:50,31,"3,1","11,7",13:10,"7,1",70,95,00:00,51,12:50,"957,1",10,"952,2",24
2022-03-13,3260B,TOLEDO,TOLEDO,513,"11,6","0,4","6,5",07:00,"16,6",16:50,25,"1,9","16,7",02:10,"9,1",68,95,07:10,39,16:10,"955,5",09,"951,4",01
2022-03-14,3260B,TOLEDO,TOLEDO,513,"10,0","16,0","6,8",09:00,"13,3",16:30,13,"3,9","16,4",15:40,"0,0",90,97,13:50,66,00:20,"952,2",00,"944,5",15
2022-03-15,3260B,TOLEDO,TOLEDO,513,"13,8","0,0","12,2",01:00,"15,5",15:00,10,"6,4","14,2",06:10,"0,0",70,79,Varias,64,15:40,"956,0",22,"949,9",04
2022-03-16,3260B,TOLEDO,TOLEDO,513,"12,3","0,0","10,7",08:00,"13,9",14:40,04,"1,7","10,3",23:10,"0,0",74,84,21:00,64,13:50,"956,7",22,"953,8",16
2022-03-17,3260B,TOLEDO,TOLEDO,513,"11,4","0,0","9,3",23:59,"13,6",15:00,05,"5,8","15,6",03:20,"0,0",62,75,04:40,56,Varias,"963,2",24,"956,3",02
2022-03-18,3260B,TOLEDO,TOLEDO,513,"11,0","0,0","5,8",06:40,"16,1",14:40,09,"1,9","7,8",11:20,"5,2",65,87,07:40,47,15:20,"964,4",10,"962,0",15
2022-03-19,3260B,TOLEDO,TOLEDO,513,"10,1","0,0","6,3",06:00,"13,9",Varias,12,"3,3","9,2",23:30,"2,9",72,95,06:10,58,13:20,"964,1",09,"961,1",17
2022-03-20,3260B,TOLEDO,TOLEDO,513,"11,7","8,4","7,0",05:00,"16,4",16:20,14,"7,2","15,3",17:50,"5,0",65,90,05:00,50,16:00,"962,0",00,"956,4",17
2022-03-21,3260B,TOLEDO,TOLEDO,513,"11,5","2,6","7,5",06:00,"15,5",16:30,07,"3,1","11,1",01:40,"2,5",86,96,Varias,64,16:30,"959,4",10,"956,6",17
2022-03-22,3260B,TOLEDO,TOLEDO,513,"12,3","0,0","9,1",23:59,"15,5",13:50,13,"6,1","16,1",17:10,"2,1",76,89,04:30,66,13:40,"961,1",Varias,"958,6",04
2022-03-23,3260B,TOLEDO,TOLEDO,513,"9,8","3,6","8,5",Varias,"11,0",14:50,12,"6,1","13,6",14:30,"0,1",80,89,16:30,73,14:30,"960,9",00,"957,5",Varias
2022-03-24,3260B,TOLEDO,TOLEDO,513,"10,2","1,2","7,0",07:10,"13,4",14:40,11,"5,6","13,9",12:50,"0,0",85,94,07:00,74,13:20,"958,7",00,"956,4",15
2022-03-25,3260B,TOLEDO,TOLEDO,513,"12,0","0,4","10,2",07:00,"13,7",15:00,12,"3,9","11,1",14:20,"0,1",83,91,Varias,66,14:40,"957,8",00,"954,8",Varias
2022-03-26,3260B,TOLEDO,TOLEDO,513,"11,4","0,0","8,7",07:00,"14,2",15:30,05,"2,8","7,8",03:10,"0,6",76,91,00:00,66,15:00,"960,4",23,"956,0",Varias
2022-03-27,3260B,TOLEDO,TOLEDO,513,"11,4","0,0","7,4",04:00,"15,4",13:30,11,"4,4","11,1",11:40,"6,4",68,91,06:50,55,13:20,"962,8",20,"959,8",01
2022-03-28,3260B,TOLEDO,TOLEDO,513,"12,9","0,0","6,5",04:40,"19,3",15:20,09,"3,3","10,3",00:40,"7,9",65,90,04:30,49,15:10,"962,4",00,"953,8",20
2022-03-29,3260B,TOLEDO,TOLEDO,513,"12,8","0,4","9,3",06:50,"16,3",17:40,10,"1,1","9,7",04:20,"2,9",65,85,Varias,55,13:50,"955,1",02,"945,5",18
2022-03-30,3260B,TOLEDO,TOLEDO,513,"12,2","4,2","9,2",21:00,"15,3",15:20,36,"4,4","10,8",15:30,"3,0",77,97,Varias,57,15:20,"946,4",Varias,"942,9",15
2022-03-31,3260B,TOLEDO,TOLEDO,513,"10,4","2,0","5,7",04:50,"15,1",14:30,32,"2,2","9,7",14:50,"5,0",69,92,23:00,48,14:20,"949,2",24,"945,4",16
2022-04-01,3260B,TOLEDO,TOLEDO,513,"8,2","0,0","3,7",23:30,"12,8",14:40,35,"3,6","11,4",15:10,"9,3",49,89,00:30,30,16:30,"958,4",24,"949,2",00
2022-04-02,3260B,TOLEDO,TOLEDO,513,"6,4","0,0","0,0",05:50,"12,7",14:50,35,"3,1","8,6",17:20,"11,6",50,86,06:40,28,16:20,"959,8",10,"956,0",17
2022-04-03,3260B,TOLEDO,TOLEDO,513,"5,9","0,0","-0,6",06:30,"12,4",15:00,06,"4,7","11,7",13:00,"11,8",45,77,06:10,27,17:40,"957,6",00,"951,5",17
2022-04-04,3260B,TOLEDO,TOLEDO,513,"5,6","0,0","0,2",06:50,"11,1",14:50,09,"3,6","11,7",10:20,"3,2",54,66,23:50,42,00:00,"955,1",01,"951,7",16
2022-04-05,3260B,TOLEDO,TOLEDO,513,"5,8","1,4","4,1",06:30,"7,4",17:00,09,"2,8","9,2",08:10,"0,0",77,92,22:00,61,04:50,"955,1",Varias,"952,9",05
2022-04-06,3260B,TOLEDO,TOLEDO,513,"10,2","0,0","3,0",06:00,"17,3",16:40,26,"3,9","11,4",16:10,"11,4",63,95,06:50,35,16:00,"958,7",24,"952,9",03
2022-04-07,3260B,TOLEDO,TOLEDO,513,"12,9","0,0","6,7",04:50,"19,1",16:00,28,"5,6","13,3",13:10,"12,4",55,81,06:50,39,13:10,"961,1",10,"958,7",00
2022-04-08,3260B,TOLEDO,TOLEDO,513,"12,0","0,0","7,3",06:30,"16,7",15:00,26,"6,4","16,7",14:30,"9,6",64,87,06:00,50,15:00,"960,6",00,"957,7",16
2022-04-09,3260B,TOLEDO,TOLEDO,513,"14,4","0,6","11,1",02:40,"17,8",17:50,28,"3,6","8,9",02:40,"3,3",80,95,Varias,69,17:30,"958,8",10,"956,4",18
2022-04-10,3260B,TOLEDO,TOLEDO,513,"16,8","0,0","7,7",06:10,"25,8",15:40,99,"3,1","10,8",Varias,"11,6",56,96,06:30,29,15:50,"957,2",00,"948,9",Varias
2022-04-11,3260B,TOLEDO,TOLEDO,513,"17,4","2,2","9,8",23:59,"25,1",15:10,27,"3,3","13,1",19:30,"8,6",51,96,Varias,30,15:10,"949,7",00,"944,2",16
2022-04-12,3260B,TOLEDO,TOLEDO,513,"13,6","2,4","8,2",23:40,"18,9",14:40,33,"2,2","11,7",15:20,"5,5",74,96,00:00,45,14:40,"951,8",22,"948,5",Varias
2022-04-13,3260B,TOLEDO,TOLEDO,513,"12,7","0,2","5,1",06:50,"20,3",15:10,33,"2,8","9,2",13:30,"7,7",65,100,07:30,41,14:00,"956,1",Varias,"951,6",02
2022-04-14,3260B,TOLEDO,TOLEDO,513,"16,3","0,0","9,7",05:50,"22,9",17:00,32,"1,9","7,2",18:40,"10,9",53,84,05:10,38,Varias,"959,8",24,"955,7",03
2022-04-15,3260B,TOLEDO,TOLEDO,513,"17,6","0,0","9,3",06:10,"25,8",15:30,08,"1,7","5,3",01:30,"12,0",48,80,02:30,27,16:30,"962,5",10,"959,6",02
2022-04-16,3260B,TOLEDO,TOLEDO,513,"19,2","0,0","11,1",06:00,"27,4",15:00,25,"2,2","8,3",15:00,"12,7",47,80,05:40,22,14:10,"962,3",08,"958,2",Varias
2022-04-17,3260B,TOLEDO,TOLEDO,513,"18,3","0,0","9,5",06:20,"27,1",15:00,30,"2,8","6,7",16:40,"12,5",46,84,06:20,28,17:00,"959,2",08,"954,8",18
2022-04-18,3260B,TOLEDO,TOLEDO,513,"19,0","0,0","11,0",05:40,"27,1",16:00,27,"3,1","10,3",17:40,"11,9",49,75,05:30,30,14:50,"955,8",00,"950,2",17
2022-04-19,3260B,TOLEDO,TOLEDO,513,"14,2","29,6","7,4",23:59,"20,9",13:20,36,"6,1","15,8",17:00,"9,2",59,95,22:30,41,12:00,"951,2",00,"947,0",16
2022-04-20,3260B,TOLEDO,TOLEDO,513,"9,0","2,8","4,3",05:30,"13,6",16:50,34,"5,0","14,2",16:20,"1,6",74,95,02:20,47,16:20,"951,0",23,"945,4",05
2022-04-21,3260B,TOLEDO,TOLEDO,513,"11,4","0,2","4,9",06:00,"18,0",15:30,28,"3,3","9,7",17:00,"12,7",50,77,06:10,35,12:50,"950,9",00,"945,5",24
2022-04-22,3260B,TOLEDO,TOLEDO,513,"10,0","14,4","7,4",Varias,"12,5",12:30,22,"3,9","11,1",11:10,"0,0",85,91,14:00,67,12:20,"945,5",00,"937,6",19
2022-04-23,3260B,TOLEDO,TOLEDO,513,"10,2","0,0","5,6",06:00,"14,7",15:40,26,"7,8","18,9",14:00,"8,5",61,89,03:20,41,17:30,"951,2",24,"938,4",01
2022-04-24,3260B,TOLEDO,TOLEDO,513,"12,2","0,0","5,7",03:00,"18,7",16:00,26,"2,5","8,3",14:10,"12,8",56,88,02:20,33,15:20,"953,7",21,"951,2",00
2022-04-25,3260B,TOLEDO,TOLEDO,513,"14,3","0,0","6,1",05:50,"22,5",15:00,02,"2,5","5,8",17:50,"12,8",55,89,05:50,35,Varias,"953,3",Varias,"950,5",Varias
2022-04-26,3260B,TOLEDO,TOLEDO,513,"16,7","20,6","10,5",06:00,"22,9",13:40,12,"1,7","9,4",15:00,"7,6",70,91,20:50,42,14:30,"954,6",24,"951,3",03
2022-04-27,3260B,TOLEDO,TOLEDO,513,"15,6","4,6","10,6",23:59,"20,7",15:00,33,"2,8","11,4",16:30,"5,4",75,96,05:00,46,14:20,"957,8",24,"954,3",15
2022-04-28,3260B,TOLEDO,TOLEDO,513,"13,0","0,2","8,4",04:50,"17,7",13:40,12,"2,8","11,4",14:40,"4,9",74,96,06:50,59,18:00,"963,6",23,"957,2",03
2022-04-29,3260B,TOLEDO,TOLEDO,513,"15,9","0,0","7,9",06:00,"23,9",16:50,04,"1,7","8,1",15:00,"12,3",61,98,06:30,37,16:00,"965,6",08,"961,8",Varias
2022-04-30,3260B,TOLEDO,TOLEDO,513,"17,9","0,0","11,2",06:00,"24,6",13:50,26,"3,3","9,2",15:10,"10,9",59,86,06:50,38,15:10,"963,2",00,"959,2",Varias
2022-05-01,3260B,TOLEDO,TOLEDO,513,"20,2","0,0","14,6",05:50,"25,9",15:10,30,"4,2","11,7",14:50,"13,0",47,80,02:20,27,Varias,"959,9",00,"953,9",24
2022-05-02,3260B,TOLEDO,TOLEDO,513,"16,0","0,0","11,0",05:50,"21,0",12:50,99,"4,4","11,4",14:30,"11,0",61,85,23:50,42,12:30,"953,9",00,"949,4",15
2022-05-03,3260B,TOLEDO,TOLEDO,513,"14,9","9,2","11,0",05:00,"18,8",15:10,05,"1,9","11,1",12:00,"4,2",81,94,20:10,52,15:10,"955,3",22,"949,7",03
2022-05-04,3260B,TOLEDO,TOLEDO,513,"16,0","0,0","10,6",06:00,"21,5",17:00,05,"2,8","7,8",02:20,"6,2",62,93,00:00,41,16:10,"959,4",Varias,"953,9",02
2022-05-05,3260B,TOLEDO,TOLEDO,513,"16,0","0,0","8,1",05:40,"24,0",15:50,34,"2,8","10,8",14:30,"13,2",55,96,05:40,30,17:30,,,,
2022-05-06,3260B,TOLEDO,TOLEDO,513,"17,2","0,0","9,2",05:40,"25,3",16:00,30,"2,8","10,0",17:00,"13,2",46,79,03:20,21,16:20,"963,1",Varias,"959,3",18
2022-05-07,3260B,TOLEDO,TOLEDO,513,"17,7","0,0","9,6",06:00,"25,8",18:30,09,"1,1","6,4",08:10,"12,8",41,73,05:40,25,18:00,"962,3",07,"958,1",18
2022-05-08,3260B,TOLEDO,TOLEDO,513,"19,2","0,0","10,6",06:00,"27,9",16:00,32,"2,8","6,7",13:50,"12,6",42,81,06:00,26,Varias,"960,6",08,"956,9",Varias
2022-05-09,3260B,TOLEDO,TOLEDO,513,"20,2","0,0","10,7",05:50,"29,7",16:30,11,"2,2","6,9",07:30,"13,3",40,82,05:40,24,14:00,"961,4",09,"958,3",18
2022-05-10,3260B,TOLEDO,TOLEDO,513,"22,4","0,0","13,8",05:00,"31,1",16:50,99,"2,8","8,9",Varias,"13,4",38,67,Varias,19,16:10,"962,5",10,"958,3",Varias
2022-05-11,3260B,TOLEDO,TOLEDO,513,"23,0","0,0","14,1",05:40,"31,8",15:50,16,"2,8","8,3",20:50,"12,0",45,71,Varias,27,15:00,"959,5",09,"955,4",18
2022-05-12,3260B,TOLEDO,TOLEDO,513,"22,2","0,0","14,7",06:00,"29,8",16:00,10,"3,3","9,2",02:50,"11,8",39,59,Varias,20,16:00,"959,7",24,"956,8",02
2022-05-13,3260B,TOLEDO,TOLEDO,513,"22,4","0,0","13,4",05:50,"31,5",17:10,29,"2,5","5,8",14:40,"13,0",38,72,05:50,21,16:20,"961,2",08,"957,6",18
2022-05-14,3260B,TOLEDO,TOLEDO,513,"24,3","0,0","16,8",05:40,"31,8",15:50,26,"3,1","11,7",15:30,"9,0",43,71,05:40,20,15:00,"958,0",00,"953,2",18
2022-05-15,3260B,TOLEDO,TOLEDO,513,"21,2","0,0","15,9",05:40,"26,5",15:40,27,"6,1","11,7",13:00,"11,9",46,67,07:10,31,16:20,"958,8",Varias,"954,2",01
2022-05-16,3260B,TOLEDO,TOLEDO,513,"20,9","0,0","13,5",04:40,"28,3",16:00,29,"3,6","9,2",16:40,"13,0",46,73,04:40,29,16:50,"961,2",10,"958,7",17
2022-05-17,3260B,TOLEDO,TOLEDO,513,"22,5","0,0","15,1",05:40,"29,9",16:20,28,"3,6","10,8",15:00,"13,1",43,72,05:50,26,Varias,"961,9",Varias,"958,6",18
2022-05-18,3260B,TOLEDO,TOLEDO,513,"24,4","0,0","14,4",05:50,"34,3",15:00,26,"2,8","7,5",15:20,"12,2",35,70,05:40,19,15:20,"959,1",00,"954,8",Varias
2022-05-19,3260B,TOLEDO,TOLEDO,513,"26,4","0,0","16,4",05:40,"36,5",14:20,12,"2,8","12,5",23:40,"11,1",34,66,05:30,15,14:20,"959,0",08,"955,0",17
2022-05-20,3260B,TOLEDO,TOLEDO,513,"27,0","0,0","18,8",05:50,"35,2",15:00,13,"5,0","12,8",22:10,"7,5",33,56,Varias,20,14:40,"961,7",07,"958,0",17
