fecha,indicativo,nombre,provincia,altitud,prec,velmedia,hrMedia,tmed,tmin,horatmin,tmax,horatmax,dir,racha,horaracha,hrMax,horaHrMax,hrMin,horaHrMin
2021-02-23,0244X,VILASSAR DE DALT,BARCELONA,56,,,,"15,2","11,9",06:58,"18,6",12:10,,,,,,,
2021-02-24,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,1",81,"14,2","10,4",20:23,"17,9",12:45,20,"4,4",14:20,95,00:00,67,14:50
2021-02-25,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",81,"13,5","10,5",00:01,"16,5",10:30,21,"7,2",15:30,93,00:10,58,10:30
2021-02-26,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,1",79,"12,6","8,8",23:54,"16,5",13:09,22,"4,7",13:50,93,23:59,64,13:20
2021-02-27,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,2",82,"12,6","8,3",02:52,"16,9",11:10,23,"8,9",12:50,93,Varias,63,10:50
2021-02-28,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,6",75,"12,2","8,4",06:30,"16,0",12:54,11,"9,7",13:30,93,Varias,59,Varias
2021-03-01,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,3",78,"13,9","11,9",04:48,"15,9",11:42,08,"9,4",13:20,85,Varias,62,11:50
2021-03-02,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,3",76,"13,4","11,0",23:59,"15,8",13:27,03,"9,7",02:30,91,Varias,66,Varias
2021-03-03,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",83,"12,8","10,3",23:02,"15,4",14:05,99,"5,3",Varias,92,Varias,72,12:10
2021-03-04,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","0,8",81,"13,3","10,0",02:44,"16,6",11:28,20,"4,7",11:00,93,00:40,66,11:30
2021-03-05,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","0,8",81,"12,6","9,4",04:11,"15,7",11:37,21,"3,9",12:30,90,02:50,69,12:00
2021-03-06,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",77,"11,8","9,3",02:36,"14,3",11:20,07,"5,6",15:30,88,00:50,65,11:30
2021-03-07,0244X,VILASSAR DE DALT,BARCELONA,56,"0,4","1,9",79,"12,4","9,9",03:48,"14,8",12:06,11,"5,8",13:20,88,Varias,68,00:20
2021-03-08,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",74,"12,3","9,8",22:25,"14,8",14:13,36,"8,1",07:20,85,01:00,62,14:20
2021-03-09,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,1",71,"12,1","8,6",23:57,"15,6",14:47,35,"7,5",04:50,84,23:59,59,14:20
2021-03-10,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,1",65,"11,6","7,4",02:46,"15,7",13:03,33,"7,5",07:00,85,00:30,52,13:10
2021-03-11,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,3",63,"11,8","6,8",02:57,"16,7",10:51,23,"11,1",14:10,80,14:30,51,08:40
2021-03-12,0244X,VILASSAR DE DALT,BARCELONA,56,"0,4","1,7",78,"12,2","9,1",23:20,"15,2",10:35,12,"5,8",17:30,88,05:10,68,00:20
2021-03-13,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,8",70,"12,3","7,7",03:24,"16,9",10:57,23,"11,1",15:40,89,03:40,45,11:00
2021-03-14,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,1",65,"12,2","8,1",01:14,"16,4",10:48,33,"6,7",04:20,79,01:20,56,04:30
2021-03-15,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",65,"12,4","8,6",06:23,"16,1",14:36,31,"8,9",03:10,89,Varias,47,11:10
2021-03-16,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,1",73,"13,0","8,6",01:23,"17,4",12:25,21,"6,1",16:00,92,Varias,61,12:30
2021-03-17,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,2",72,"12,9","8,2",04:01,"17,6",09:51,11,"9,2",12:00,91,04:10,52,09:10
2021-03-18,0244X,VILASSAR DE DALT,BARCELONA,56,"12,8","1,4",60,"10,4","5,6",23:28,"15,3",15:18,08,"10,8",19:30,93,Varias,46,07:20
2021-03-19,0244X,VILASSAR DE DALT,BARCELONA,56,"1,0","1,1",81,"9,0","5,7",Varias,"12,3",13:48,04,"10,3",23:10,94,00:00,54,Varias
2021-03-20,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","5,3",40,"11,0","7,1",00:31,"14,9",13:37,04,"12,8",Varias,57,00:30,31,17:10
2021-03-21,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",53,"10,4","5,7",00:59,"15,2",10:40,32,"8,3",03:00,86,23:30,35,09:40
2021-03-22,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","0,8",68,"11,6","6,6",05:37,"16,7",12:09,24,"6,1",13:20,91,04:10,41,11:10
2021-03-23,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",76,"11,8","7,4",04:05,"16,3",12:12,08,"6,7",17:10,92,03:40,65,15:30
2021-03-24,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",76,"12,5","7,6",02:58,"17,4",12:18,24,"7,2",14:30,92,Varias,59,12:50
2021-03-25,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,9",77,"12,8","8,8",05:13,"16,7",09:56,24,"6,4",12:40,93,00:50,68,12:10
2021-03-26,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,5",81,"13,6","9,7",02:56,"17,5",12:30,22,"6,7",14:10,88,Varias,69,10:10
2021-03-27,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,1",75,"14,2","10,7",04:41,"17,8",10:55,08,"7,2",01:10,92,02:50,55,11:20
2021-03-28,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",73,"12,7","8,6",05:42,"16,8",15:47,12,"5,3",Varias,92,Varias,58,16:50
2021-03-29,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",54,"13,4","8,4",02:35,"18,4",12:05,10,"5,8",14:50,80,18:40,42,12:40
2021-03-30,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",75,"13,8","9,6",22:53,"18,0",16:09,13,"5,0",09:30,90,19:00,55,00:00
2021-03-31,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,1",70,"13,4","8,2",04:25,"18,7",15:36,12,"3,6",12:10,91,05:10,49,15:40
2021-04-01,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","0,8",49,"14,8","9,0",04:56,"20,6",15:47,24,"3,9",16:30,67,05:00,38,15:50
2021-04-02,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,1",59,"16,4","12,3",03:40,"20,5",15:09,10,"8,3",Varias,75,22:40,39,Varias
2021-04-03,0244X,VILASSAR DE DALT,BARCELONA,56,"0,4","1,1",63,"17,2","11,6",04:14,"22,7",10:22,99,"6,1",Varias,82,21:10,41,10:20
2021-04-04,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","0,8",64,"15,0","10,2",05:33,"19,9",12:05,20,"5,0",12:10,84,05:40,47,12:20
2021-04-05,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,8",67,"14,8","10,7",02:46,"18,9",09:55,22,"10,6",15:00,79,Varias,53,09:50
2021-04-06,0244X,VILASSAR DE DALT,BARCELONA,56,"1,0","1,9",69,"13,7","10,3",23:50,"17,1",12:37,99,"6,4",12:40,89,23:40,62,Varias
2021-04-07,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,9",60,"11,4","7,7",07:43,"15,1",12:55,11,"5,3",12:00,92,01:20,45,13:00
2021-04-08,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,3",56,"12,3","8,5",23:44,"16,1",12:23,20,"9,4",12:40,77,23:50,47,13:50
2021-04-09,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,1",71,"12,6","8,9",Varias,"16,4",08:30,12,"5,8",15:40,84,Varias,57,08:30
2021-04-10,0244X,VILASSAR DE DALT,BARCELONA,56,"2,2","0,8",88,"11,8","9,7",Varias,"14,0",13:56,08,"4,2",08:30,96,Varias,80,03:50
2021-04-11,0244X,VILASSAR DE DALT,BARCELONA,56,"30,2","2,2",87,"13,5","9,7",00:01,"17,3",14:56,22,"7,2",14:00,97,Varias,74,09:00
2021-04-12,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,9",75,"12,2","8,4",23:51,"16,0",12:47,20,"6,4",11:20,97,Varias,54,16:10
2021-04-13,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",64,"12,5","8,3",00:44,"16,7",12:44,24,"6,4",14:00,85,22:50,51,11:30
2021-04-14,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,2",62,"12,8","10,0",20:59,"15,5",11:54,12,"6,7",14:10,86,01:00,56,10:00
2021-04-15,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,1",54,"13,2","10,5",03:09,"15,9",11:32,09,"10,0",13:00,70,02:20,41,15:20
2021-04-16,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,1",55,"11,4","8,2",22:26,"14,6",13:00,10,"10,6",13:10,75,22:30,43,09:10
2021-04-17,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,5",59,"11,4","8,0",03:54,"14,7",09:07,33,"7,8",02:30,73,23:59,36,09:20
2021-04-18,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,1",49,"13,0","8,0",01:24,"17,9",11:29,22,"8,3",13:30,73,00:00,31,10:00
2021-04-19,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,8",72,"12,6","8,6",03:05,"16,6",10:05,12,"7,2",13:50,88,23:40,63,Varias
2021-04-21,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,9",87,"12,4","10,7",21:09,"14,2",13:55,99,"7,5",Varias,94,03:40,78,16:00
2021-04-22,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,3",71,"13,7","10,2",03:57,"17,2",10:29,10,"9,4",10:50,91,Varias,59,10:00
2021-04-23,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",59,"14,0","8,9",02:24,"19,1",12:55,08,"6,1",13:50,93,01:10,50,13:00
2021-04-24,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",68,"14,0","9,0",03:29,"18,9",13:53,12,"4,2",Varias,75,Varias,57,07:30
2021-04-25,0244X,VILASSAR DE DALT,BARCELONA,56,,"2,8",63,"16,0","11,6",03:17,"20,3",13:36,08,"8,1",16:00,83,02:10,44,Varias
2021-04-26,0244X,VILASSAR DE DALT,BARCELONA,56,,"3,1",61,"16,6","13,1",17:05,"20,2",09:04,02,"9,2",04:40,85,17:10,32,08:30
2021-04-27,0244X,VILASSAR DE DALT,BARCELONA,56,,"1,4",73,"15,6","12,6",04:55,"18,7",12:57,22,"6,1",13:30,88,23:59,62,15:10
2021-04-28,0244X,VILASSAR DE DALT,BARCELONA,56,,"1,1",85,"15,8","12,5",00:44,"19,2",13:36,16,"3,9",14:40,92,Varias,66,14:20
2021-04-29,0244X,VILASSAR DE DALT,BARCELONA,56,,"1,9",87,"16,6","14,2",06:13,"18,9",08:40,09,"6,4",15:40,92,06:20,73,09:30
2021-04-30,0244X,VILASSAR DE DALT,BARCELONA,56,,"2,2",85,"16,2","13,8",02:53,"18,5",10:59,11,"8,6",12:50,93,03:30,73,22:40
2021-05-01,0244X,VILASSAR DE DALT,BARCELONA,56,,"1,7",83,"15,4","12,0",06:02,"18,8",14:03,22,"8,3",14:10,94,09:20,69,15:30
2021-05-02,0244X,VILASSAR DE DALT,BARCELONA,56,,"2,5",63,"13,2","10,0",23:01,"16,5",09:23,11,"7,8",15:10,85,00:00,57,16:20
2021-05-03,0244X,VILASSAR DE DALT,BARCELONA,56,,"1,4",58,"14,0","9,8",03:13,"18,2",10:07,11,"6,1",09:00,77,00:10,44,09:50
2021-05-04,0244X,VILASSAR DE DALT,BARCELONA,56,,"2,8",60,"15,0","10,2",03:37,"19,7",10:43,22,"8,3",13:00,86,23:20,46,10:40
2021-05-05,0244X,VILASSAR DE DALT,BARCELONA,56,,"1,7",75,"16,4","11,9",00:54,"21,0",10:58,12,"7,2",13:10,90,Varias,58,10:30
2021-05-06,0244X,VILASSAR DE DALT,BARCELONA,56,,"4,4",75,"17,2","13,7",01:45,"20,6",12:24,23,"13,3",15:00,91,02:00,68,08:40
2021-05-07,0244X,VILASSAR DE DALT,BARCELONA,56,,"2,2",74,"16,6","12,9",03:30,"20,4",11:37,10,"7,5",09:40,89,03:40,67,08:10
2021-05-08,0244X,VILASSAR DE DALT,BARCELONA,56,,"2,5",67,"18,7","14,8",23:23,"22,6",09:08,22,"9,2",13:40,89,20:20,58,09:10
2021-05-09,0244X,VILASSAR DE DALT,BARCELONA,56,,"2,5",79,"18,4","14,7",03:47,"22,0",10:43,06,"10,8",10:10,94,23:40,65,10:50
2021-05-10,0244X,VILASSAR DE DALT,BARCELONA,56,,"2,2",79,"17,9","14,7",21:58,"21,1",13:35,25,"7,8",17:50,96,Varias,60,23:50
2021-05-11,0244X,VILASSAR DE DALT,BARCELONA,56,,"3,3",61,"16,0","11,7",23:46,"20,3",09:52,10,"12,8",14:00,83,22:20,49,09:50
2021-05-12,0244X,VILASSAR DE DALT,BARCELONA,56,,"3,3",57,"18,3","11,1",03:42,"25,5",14:40,26,"13,3",12:50,86,01:40,33,14:40
2021-05-13,0244X,VILASSAR DE DALT,BARCELONA,56,,"3,6",57,"17,0","12,0",04:43,"22,1",15:32,24,"12,5",15:40,83,03:50,45,10:50
2021-05-14,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,8",71,"16,5","13,2",23:56,"19,8",14:06,19,"9,4",13:20,85,23:59,53,11:10
2021-05-15,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,6",66,"17,2","12,1",04:11,"22,4",16:17,24,"10,3",13:40,87,01:50,53,16:10
2021-05-16,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,2",66,"17,8","14,7",02:28,"21,0",11:49,08,"8,9",17:40,85,Varias,54,12:20
2021-05-17,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,8",71,"17,4","14,8",Varias,"20,1",14:52,22,"8,9",10:20,90,01:30,65,15:30
2021-05-18,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,8",77,"17,4","14,1",01:16,"20,7",13:05,21,"11,9",13:20,90,23:50,70,15:50
2021-05-19,0244X,VILASSAR DE DALT,BARCELONA,56,"3,0","2,8",76,"17,6","14,6",22:55,"20,5",09:15,23,"11,4",11:10,90,00:00,55,09:00
2021-05-20,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,5",79,"17,5","14,0",23:35,"21,0",14:15,24,"8,1",17:40,94,07:10,46,13:50
2021-05-21,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,5",77,"17,6","14,1",00:01,"21,2",Varias,22,"10,8",11:50,90,23:40,62,04:20
2021-05-22,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,5",71,"16,8","13,4",23:59,"20,3",14:14,10,"7,5",01:00,90,00:40,62,14:10
2021-05-23,0244X,VILASSAR DE DALT,BARCELONA,56,"1,2","0,8",69,"16,0","13,3",00:12,"18,6",13:10,99,"5,0",Varias,78,23:59,56,10:10
2021-05-24,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,3",77,"17,1","13,3",Varias,"20,9",14:11,22,"11,4",12:30,92,04:30,56,10:10
2021-05-25,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",68,"16,6","13,0",23:55,"20,3",12:29,99,"6,7",Varias,82,Varias,60,14:20
2021-05-26,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",69,"16,6","12,0",03:58,"21,2",11:03,22,"5,8",12:30,87,23:40,55,09:10
2021-05-27,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",69,"18,4","14,1",03:48,"22,6",12:21,19,"5,8",10:50,90,Varias,62,12:10
2021-05-28,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",68,"20,0","15,4",03:39,"24,6",13:58,11,"5,6",10:10,90,00:00,52,15:20
2021-05-29,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",59,"21,3","15,7",02:55,"26,9",13:09,23,"6,4",13:30,82,00:10,45,10:50
2021-05-30,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",60,"23,0","19,6",Varias,"26,4",12:24,30,"8,6",22:50,74,21:40,45,12:20
2021-05-31,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",65,"21,2","17,7",23:31,"24,7",14:11,11,"5,3",10:00,74,04:40,52,16:00
2021-06-01,0244X,VILASSAR DE DALT,BARCELONA,56,"0,6","1,7",80,"20,2","16,6",04:12,"23,8",11:04,11,"6,4",09:30,95,20:50,57,06:30
2021-06-02,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,2",71,"20,8","17,5",02:11,"24,0",12:58,12,"6,9",09:20,93,00:00,67,14:00
2021-06-03,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,1",76,"21,0","18,2",04:15,"23,9",10:12,10,"7,8",10:20,90,Varias,68,10:10
2021-06-04,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,3",74,"21,1","18,1",23:53,"24,1",14:08,09,"8,1",11:30,89,Varias,64,08:10
2021-06-05,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",68,"20,5","16,8",03:23,"24,2",10:06,12,"5,8",15:00,90,00:30,58,09:40
2021-06-06,0244X,VILASSAR DE DALT,BARCELONA,56,"4,2","2,5",72,"21,6","17,2",Varias,"26,0",11:58,22,"11,7",15:00,90,23:30,53,10:50
2021-06-07,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",71,"20,6","16,0",Varias,"25,1",10:58,20,"7,2",13:10,93,02:50,58,15:10
2021-06-08,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,9",68,"22,2","16,7",01:36,"27,7",09:41,22,"7,8",16:00,88,21:20,42,08:20
2021-06-09,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",52,"23,8","18,0",02:28,"29,5",12:57,99,"5,0",Varias,89,00:30,42,14:30
2021-06-10,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,1",50,"24,6","19,1",03:20,"30,0",12:51,24,"9,7",15:30,73,02:50,37,12:50
2021-06-11,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",46,"25,8","20,6",Varias,"31,1",10:42,20,"4,2",Varias,60,04:00,36,10:00
2021-06-12,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,9",44,"26,6","20,8",02:19,"32,5",11:38,19,"5,0",12:00,65,05:20,34,10:50
2021-06-13,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,3",56,"27,2","23,2",02:15,"31,1",11:35,24,"8,6",16:20,64,07:00,40,22:50
2021-06-14,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",52,"26,9","23,0",23:42,"30,8",11:53,18,"5,0",17:10,75,20:20,42,00:00
2021-06-15,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",47,"27,8","22,2",02:33,"33,3",11:35,99,"5,8",Varias,72,00:00,32,11:40
2021-06-16,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,5",63,"26,3","22,9",03:21,"29,7",11:09,11,"6,7",11:40,82,19:20,43,10:40
2021-06-17,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,9",79,"23,9","21,2",23:57,"26,6",10:31,10,"11,9",06:30,94,Varias,53,00:20
2021-06-18,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,9",73,"24,2","20,0",03:00,"28,5",11:03,10,"7,5",19:10,94,00:00,60,08:30
2021-06-19,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,1",79,"24,8","21,2",02:38,"28,4",11:28,19,"5,3",09:50,90,20:30,57,23:59
2021-06-20,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,6",63,"26,2","21,9",03:14,"30,6",12:17,36,"11,4",10:00,82,18:50,37,12:20
2021-06-21,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","4,4",56,"25,4","20,7",03:41,"30,2",08:55,32,"8,9",06:50,79,20:40,35,08:40
2021-06-22,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,9",64,"23,2","19,9",01:20,"26,4",10:00,12,"6,7",12:50,80,20:50,52,12:20
2021-06-23,0244X,VILASSAR DE DALT,BARCELONA,56,"0,2","2,8",56,"23,0","18,3",23:58,"27,7",13:41,30,"11,7",09:10,75,23:59,43,13:40
2021-06-24,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,3",68,"21,1","17,0",02:48,"25,2",09:51,10,"8,3",12:30,84,23:50,52,08:20
2021-06-25,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,6",67,"22,4","18,4",04:35,"26,5",13:10,20,"8,9",12:30,88,01:40,61,13:00
2021-06-26,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,1",71,"22,8","18,8",04:26,"26,9",10:02,23,"9,7",14:50,88,Varias,54,10:00
2021-06-27,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,2",64,"24,1","20,2",04:17,"28,0",12:06,23,"6,7",13:00,85,00:00,56,16:40
2021-06-28,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,2",72,"23,5","19,5",03:35,"27,5",12:33,09,"7,8",19:00,85,19:10,63,04:40
2021-06-29,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,5",70,"23,6","20,3",03:32,"26,8",09:52,17,"6,4",12:00,81,03:40,56,10:10
2021-06-30,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,1",64,"24,4","21,2",02:59,"27,5",12:40,23,"8,6",16:50,82,Varias,55,12:40
2021-07-01,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,6",72,"24,4","21,1",23:29,"27,7",14:14,20,"9,7",13:50,88,Varias,64,14:20
2021-07-02,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,8",68,"24,4","19,5",03:41,"29,4",10:51,21,"9,7",17:10,88,00:00,53,11:10
2021-07-03,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,2",69,"24,6","20,6",03:16,"28,6",12:43,23,"8,9",12:10,88,01:40,63,11:40
2021-07-04,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,1",69,"24,8","20,8",22:32,"28,9",11:00,10,"11,9",12:00,85,21:00,61,11:00
2021-07-05,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,8",65,"24,4","20,1",02:32,"28,8",15:03,99,"6,7",Varias,88,20:40,51,07:30
2021-07-06,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,8",77,"26,0","21,8",23:20,"30,3",11:54,11,"8,3",14:50,90,04:20,63,11:40
2021-07-07,0244X,VILASSAR DE DALT,BARCELONA,56,"14,2","1,7",65,"24,8","21,5",Varias,"28,1",14:19,19,"5,8",14:50,84,02:00,50,15:10
2021-07-08,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,9",70,"22,6","18,0",04:03,"27,2",12:05,99,"7,2",Varias,93,Varias,53,11:10
2021-07-09,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,9",63,"24,0","20,2",02:29,"27,7",14:40,23,"11,4",13:20,78,22:40,58,08:40
2021-07-10,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","4,4",65,"24,2","20,6",04:35,"27,8",Varias,23,"12,2",14:40,82,01:50,58,17:10
2021-07-11,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,2",72,"25,6","22,1",04:24,"29,2",10:16,29,"7,2",21:40,92,Varias,61,10:20
2021-07-12,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","3,9",70,"25,7","22,1",23:57,"29,3",08:46,08,"8,9",12:00,88,01:10,45,23:59
2021-07-13,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,8",50,"22,4","17,9",03:24,"27,0",13:38,04,"10,3",20:40,69,19:20,40,00:30
2021-07-14,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,5",62,"23,2","19,1",01:34,"27,3",11:04,11,"8,6",16:00,73,16:20,53,06:40
2021-07-15,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,8",71,"24,0","20,5",Varias,"27,6",14:17,20,"7,8",Varias,83,04:30,62,10:10
