fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,horatmax
2022-03-13,1393,CABO VILÁN,A CORUÑA,50,"9,7","16,4","7,1",20:30,"12,3",20,"8,6","21,1",13:00,74,88,Varias,60,03:00,12:40
2022-03-14,1393,CABO VILÁN,A CORUÑA,50,"9,6","0,0","7,1",02:40,"12,2",02,"11,9","21,7",17:20,78,89,01:40,70,Varias,13:00
2022-03-15,1393,CABO VILÁN,A CORUÑA,50,"11,4","0,0","9,6",06:50,"13,3",02,"7,8","14,2",17:10,81,86,Varias,72,12:20,13:00
2022-03-16,1393,CABO VILÁN,A CORUÑA,50,"11,8","0,0","10,4",23:59,"13,2",02,"11,9","18,9",20:30,70,86,Varias,60,12:50,12:40
2022-03-17,1393,CABO VILÁN,A CORUÑA,50,"10,4","0,0","9,0",23:59,"11,9",02,"15,6","22,5",06:30,61,67,00:00,56,10:40,13:50
2022-03-18,1393,CABO VILÁN,A CORUÑA,50,"11,8","0,0","7,8",05:50,"15,8",04,"5,0","19,2",00:20,57,62,02:50,43,10:10,17:00
2022-03-19,1393,CABO VILÁN,A CORUÑA,50,"15,6","0,0","11,1",00:20,"20,2",24,"3,9","8,6",14:20,50,66,23:50,41,11:00,13:50
2022-03-20,1393,CABO VILÁN,A CORUÑA,50,"16,2","0,4","11,7",23:40,"20,6",99,"3,6","6,7",Varias,59,76,23:30,43,11:30,11:20
2022-03-21,1393,CABO VILÁN,A CORUÑA,50,"14,0","0,0","10,6",23:20,"17,3",22,"4,2","9,7",13:10,69,82,Varias,53,03:10,12:00
2022-03-22,1393,CABO VILÁN,A CORUÑA,50,"13,3","8,0","10,9",03:00,"15,7",20,"5,8","16,7",12:30,82,90,Varias,66,12:20,12:20
2022-03-23,1393,CABO VILÁN,A CORUÑA,50,"13,4","0,0","10,3",05:00,"16,5",03,"5,8","13,6",16:30,73,86,Varias,65,17:20,13:20
2022-03-24,1393,CABO VILÁN,A CORUÑA,50,"12,4","0,0","9,6",06:00,"15,1",03,"8,9","18,1",17:10,71,88,Varias,57,22:00,13:10
2022-03-25,1393,CABO VILÁN,A CORUÑA,50,"12,0","0,0","9,0",05:30,"15,1",99,"5,8","11,1",Varias,71,87,21:00,62,Varias,12:00
2022-03-26,1393,CABO VILÁN,A CORUÑA,50,"15,6","0,0","11,7",23:59,"19,4",99,"2,5","6,1",Varias,59,85,00:00,50,12:30,12:30
2022-03-27,1393,CABO VILÁN,A CORUÑA,50,"14,8","0,0","11,4",23:00,"18,3",11,"3,1","5,8",07:40,68,86,19:40,52,10:00,09:30
2022-03-28,1393,CABO VILÁN,A CORUÑA,50,"14,4","0,0","11,8",00:30,"16,9",02,"3,3","9,7",19:00,77,89,Varias,62,06:30,12:10
2022-03-29,1393,CABO VILÁN,A CORUÑA,50,"13,0","0,0","10,6",20:50,"15,4",28,"6,1","10,0",07:00,74,85,00:00,68,Varias,13:20
2022-03-30,1393,CABO VILÁN,A CORUÑA,50,"13,0","1,8","10,1",21:00,"16,0",02,"3,9","8,1",03:30,66,76,Varias,58,14:20,12:50
2022-03-31,1393,CABO VILÁN,A CORUÑA,50,"11,6","1,2","8,5",23:59,"14,8",02,"7,8","18,6",21:30,79,88,02:20,61,Varias,13:40
